y	n
52	8
50	8
51	8
57	8
54	8
49	8
51	8
55	8
52	8
52	8
51	8
55	8
51	8
50	8
51	8
55	8
54	8
52	8
54	8
55	8
72	8
74	8
70	8
72	8
65	8
57	8
59	8
59	8
64	8
66	8
60	8
67	8
62	8
68	8
63	8
69	8
79	8
82	8
69	8
70	8
90	8
93	8
89	8
96	8
86	8
79	8
77	8
86	8
88	8
85	8
82	8
92	8
84	8
80	8
82	8
91	8
106	8
103	8
92	8
94	8
114	8
98	7
107	8
117	8
96	8
101	8
95	8
104	8
91	7
105	8
103	8
115	8
103	8
105	8
100	8
105	8
108	8
84	6
108	8
111	8
129	8
136	8
124	8
133	8
105	7
116	8
111	8
118	8
98	7
120	8
117	8
126	8
115	8
127	8
113	8
118	8
90	6
102	6
123	8
129	8
140	8
108	6
128	8
108	6
90	6
90	6
120	8
128	8
105	7
96	6
96	6
102	6
96	6
96	6
90	6
96	6
96	6
102	6
128	8
136	8
