bolls	defol	phenol
10	0	vegetative
9	0	vegetative
8	0	vegetative
8	0	vegetative
10	0	vegetative
11	0.25	vegetative
9	0.25	vegetative
10	0.25	vegetative
10	0.25	vegetative
10	0.25	vegetative
8	0.5	vegetative
8	0.5	vegetative
10	0.5	vegetative
8	0.5	vegetative
9	0.5	vegetative
9	0.75	vegetative
7	0.75	vegetative
7	0.75	vegetative
8	0.75	vegetative
9	0.75	vegetative
8	1	vegetative
6	1	vegetative
6	1	vegetative
5	1	vegetative
6	1	vegetative
7	0	flower bud
8	0	flower bud
8	0	flower bud
9	0	flower bud
10	0	flower bud
9	0.25	flower bud
12	0.25	flower bud
7	0.25	flower bud
10	0.25	flower bud
9	0.25	flower bud
8	0.5	flower bud
9	0.5	flower bud
9	0.5	flower bud
10	0.5	flower bud
8	0.5	flower bud
11	0.75	flower bud
10	0.75	flower bud
7	0.75	flower bud
8	0.75	flower bud
8	0.75	flower bud
7	1	flower bud
7	1	flower bud
7	1	flower bud
7	1	flower bud
8	1	flower bud
10	0	blossom
9	0	blossom
8	0	blossom
12	0	blossom
8	0	blossom
7	0.25	blossom
5	0.25	blossom
5	0.25	blossom
7	0.25	blossom
5	0.25	blossom
6	0.5	blossom
5	0.5	blossom
7	0.5	blossom
4	0.5	blossom
7	0.5	blossom
8	0.75	blossom
5	0.75	blossom
7	0.75	blossom
6	0.75	blossom
4	0.75	blossom
5	1	blossom
5	1	blossom
4	1	blossom
4	1	blossom
5	1	blossom
8	0	boll
10	0	boll
7	0	boll
8	0	boll
10	0	boll
9	0.25	boll
6	0.25	boll
6	0.25	boll
8	0.25	boll
6	0.25	boll
9	0.5	boll
7	0.5	boll
11	0.5	boll
8	0.5	boll
9	0.5	boll
6	0.75	boll
6	0.75	boll
6	0.75	boll
6	0.75	boll
7	0.75	boll
3	1	boll
3	1	boll
2	1	boll
4	1	boll
3	1	boll
11	0	boll open
7	0	boll open
9	0	boll open
12	0	boll open
11	0	boll open
9	0.25	boll open
13	0.25	boll open
8	0.25	boll open
10	0.25	boll open
10	0.25	boll open
9	0.5	boll open
7	0.5	boll open
7	0.5	boll open
9	0.5	boll open
9	0.5	boll open
8	0.75	boll open
8	0.75	boll open
10	0.75	boll open
8	0.75	boll open
10	0.75	boll open
9	1	boll open
8	1	boll open
10	1	boll open
8	1	boll open
10	1	boll open
