grains	pods	vpods	K	soil	block
136	56	22	0	37.5	I
159	62	2	0.3	37.5	I
156	66	0	0.6	37.5	I
171	68	2	1.2	37.5	I
190	82	0	1.8	37.5	I
140	63	20	0	50	I
193	86	6	0.3	50	I
200	94	6	0.6	50	I
208	86	7	1.2	50	I
237	97	10	1.8	50	I
132	58	23	0	62.5	I
178	80	10	0.3	62.5	I
231	99	5	0.6	62.5	I
271	110	0	1.2	62.5	I
262	106	1	1.8	62.5	I
120	48	22	0	37.5	II
146	64	0	0.3	37.5	II
159	62	1	0.6	37.5	II
152	60	0	1.2	37.5	II
159	62	0	1.8	37.5	II
124	52	12	0	50	II
239	103	9	0.3	50	II
248	103	4	0.6	50	II
190	87	1	1.2	50	II
240	101	4	1.8	50	II
140	64	14	0	62.5	II
167	77	7	0.3	62.5	II
237	96	3	0.6	62.5	II
240	94	1	1.2	62.5	II
248	105	0	1.8	62.5	II
106	44	4	0	37.5	III
157	63	3	0.3	37.5	III
204	84	1	0.6	37.5	III
169	66	0	1.2	37.5	III
147	58	1	1.8	37.5	III
133	56	22	0	50	III
199	81	7	0.3	50	III
211	92	3	0.6	50	III
223	91	7	1.2	50	III
261	100	5	1.8	50	III
128	50	21	0	62.5	III
164	71	9	0.3	62.5	III
216	94	3	0.6	62.5	III
215	89	2	1.2	62.5	III
228	89	2	1.8	62.5	III
125	60	11	0	37.5	IV
185	75	7	0.3	37.5	IV
159	67	1	0.6	37.5	IV
176	76	2	1.2	37.5	IV
154	63	1	1.8	37.5	IV
133	51	27	0	50	IV
149	60	4	0.3	50	IV
170	67	1	0.6	50	IV
215	90	2	1.2	50	IV
186	80	4	1.8	50	IV
147	62	18	0	62.5	IV
154	67	10	0.3	62.5	IV
179	75	2	0.6	62.5	IV
229	90	0	1.2	62.5	IV
216	87	1	1.8	62.5	IV
92	36	5	0	37.5	V
133	57	5	0.3	37.5	V
139	53	2	0.6	37.5	V
166	69	0	1.2	37.5	V
128	50	1	1.8	37.5	V
131	57	26	0	50	V
150	61	1	0.3	50	V
218	92	4	0.6	50	V
236	96	1	1.2	50	V
261	110	4	1.8	50	V
150	69	17	0	62.5	V
156	63	13	0.3	62.5	V
215	95	3	0.6	62.5	V
208	90	2	1.8	62.5	V
