nupper	nmiddle	nlower	days	cult	block
168	71	39	0	BRS 245 RR	I
30	46	22	0	BRS 245 RR	II
28	36	7	0	BRS 245 RR	III
6	1	31	0	BRS 245 RR	IV
31	22	28	0	BRS 243 RR	I
4	6	10	0	BRS 243 RR	II
3	12	27	0	BRS 243 RR	III
48	76	13	0	BRS 243 RR	IV
100	50	34	0	BRS 246 RR	I
54	15	7	0	BRS 246 RR	II
1	50	12	0	BRS 246 RR	III
9	2	13	0	BRS 246 RR	IV
40	32	44	0	BRS 239	I
76	38	16	0	BRS 239	II
52	43	25	0	BRS 239	III
23	41	16	0	BRS 239	IV
147	54	37	8	BRS 245 RR	I
98	65	17	8	BRS 245 RR	II
0	53	4	8	BRS 245 RR	III
16	11	6	8	BRS 245 RR	IV
79	96	38	8	BRS 243 RR	I
4	20	19	8	BRS 243 RR	II
19	2	12	8	BRS 243 RR	III
8	3	5	8	BRS 243 RR	IV
77	42	32	8	BRS 246 RR	I
72	110	23	8	BRS 246 RR	II
64	17	14	8	BRS 246 RR	III
25	7	13	8	BRS 246 RR	IV
53	14	7	8	BRS 239	I
144	38	12	8	BRS 239	II
136	48	42	8	BRS 239	III
49	23	30	8	BRS 239	IV
138	54	39	13	BRS 245 RR	I
47	56	14	13	BRS 245 RR	II
32	14	10	13	BRS 245 RR	III
24	21	5	13	BRS 245 RR	IV
85	38	11	13	BRS 243 RR	I
21	7	19	13	BRS 243 RR	II
8	3	14	13	BRS 243 RR	III
10	30	4	13	BRS 243 RR	IV
99	85	40	13	BRS 246 RR	I
84	56	23	13	BRS 246 RR	II
17	23	13	13	BRS 246 RR	III
51	19	23	13	BRS 246 RR	IV
156	42	22	13	BRS 239	I
60	66	10	13	BRS 239	II
144	57	11	13	BRS 239	III
75	23	15	13	BRS 239	IV
25	11	30	22	BRS 245 RR	I
8	11	3	22	BRS 245 RR	II
9	2	0	22	BRS 245 RR	III
18	8	3	22	BRS 245 RR	IV
42	19	3	22	BRS 243 RR	I
6	3	6	22	BRS 243 RR	II
2	0	3	22	BRS 243 RR	III
8	25	3	22	BRS 243 RR	IV
24	30	14	22	BRS 246 RR	I
18	7	2	22	BRS 246 RR	II
7	2	1	22	BRS 246 RR	III
25	14	11	22	BRS 246 RR	IV
38	20	55	22	BRS 239	I
21	4	5	22	BRS 239	II
21	23	7	22	BRS 239	III
8	12	5	22	BRS 239	IV
2	7	10	31	BRS 245 RR	I
3	5	2	31	BRS 245 RR	II
1	1	0	31	BRS 245 RR	III
4	0	3	31	BRS 245 RR	IV
0	5	3	31	BRS 243 RR	I
0	1	1	31	BRS 243 RR	II
1	1	0	31	BRS 243 RR	III
4	0	2	31	BRS 243 RR	IV
4	9	6	31	BRS 246 RR	I
3	4	0	31	BRS 246 RR	II
0	0	0	31	BRS 246 RR	III
2	0	0	31	BRS 246 RR	IV
1	10	2	31	BRS 239	I
1	0	0	31	BRS 239	II
4	3	1	31	BRS 239	III
2	0	1	31	BRS 239	IV
5	9	12	38	BRS 245 RR	I
3	0	1	38	BRS 245 RR	II
0	0	0	38	BRS 245 RR	III
3	2	1	38	BRS 245 RR	IV
6	0	7	38	BRS 243 RR	I
1	0	0	38	BRS 243 RR	II
0	0	0	38	BRS 243 RR	III
0	0	0	38	BRS 243 RR	IV
5	2	10	38	BRS 246 RR	I
1	0	0	38	BRS 246 RR	II
0	0	0	38	BRS 246 RR	III
0	0	0	38	BRS 246 RR	IV
3	1	0	38	BRS 239	I
1	0	0	38	BRS 239	II
0	0	0	38	BRS 239	III
2	9	3	38	BRS 239	IV
